"No.","Time","Source","Destination","Protocol","Length","TCP Segment Len","Identification","Info"
"290","35.993708","169.1.2.4","169.1.3.2","UDP","614","","0x0024 (36)","49153  >  69 Len=2048"
"298","36.993715","169.1.2.4","169.1.3.2","UDP","614","","0x0025 (37)","49153  >  69 Len=2048"
"306","37.993713","169.1.2.4","169.1.3.2","UDP","614","","0x0026 (38)","49153  >  69 Len=2048"
"314","38.993710","169.1.2.4","169.1.3.2","UDP","614","","0x0027 (39)","49153  >  69 Len=2048"
"322","39.993716","169.1.2.4","169.1.3.2","UDP","614","","0x0028 (40)","49153  >  69 Len=2048"
"330","40.993714","169.1.2.4","169.1.3.2","UDP","614","","0x0029 (41)","49153  >  69 Len=2048"
"338","41.993712","169.1.2.4","169.1.3.2","UDP","614","","0x002a (42)","49153  >  69 Len=2048"
"346","42.993709","169.1.2.4","169.1.3.2","UDP","614","","0x002b (43)","49153  >  69 Len=2048"
"354","43.993714","169.1.2.4","169.1.3.2","UDP","614","","0x002c (44)","49153  >  69 Len=2048"
"362","44.993711","169.1.2.4","169.1.3.2","UDP","614","","0x002d (45)","49153  >  69 Len=2048"
"370","45.993711","169.1.2.4","169.1.3.2","UDP","614","","0x002e (46)","49153  >  69 Len=2048"
"378","46.993708","169.1.2.4","169.1.3.2","UDP","614","","0x002f (47)","49153  >  69 Len=2048"
"386","47.993713","169.1.2.4","169.1.3.2","UDP","614","","0x0030 (48)","49153  >  69 Len=2048"
"394","48.993710","169.1.2.4","169.1.3.2","UDP","614","","0x0031 (49)","49153  >  69 Len=2048"
"402","49.993709","169.1.2.4","169.1.3.2","UDP","614","","0x0032 (50)","49153  >  69 Len=2048"
"410","50.993716","169.1.2.4","169.1.3.2","UDP","614","","0x0033 (51)","49153  >  69 Len=2048"
"418","51.993712","169.1.2.4","169.1.3.2","UDP","614","","0x0034 (52)","49153  >  69 Len=2048"
"426","52.993709","169.1.2.4","169.1.3.2","UDP","614","","0x0035 (53)","49153  >  69 Len=2048"
"434","53.993708","169.1.2.4","169.1.3.2","UDP","614","","0x0036 (54)","49153  >  69 Len=2048"
"442","54.993714","169.1.2.4","169.1.3.2","UDP","614","","0x0037 (55)","49153  >  69 Len=2048"
"450","55.993711","169.1.2.4","169.1.3.2","UDP","614","","0x0038 (56)","49153  >  69 Len=2048"
"458","56.993709","169.1.2.4","169.1.3.2","UDP","614","","0x0039 (57)","49153  >  69 Len=2048"
"466","57.993707","169.1.2.4","169.1.3.2","UDP","614","","0x003a (58)","49153  >  69 Len=2048"
"474","58.993714","169.1.2.4","169.1.3.2","UDP","614","","0x003b (59)","49153  >  69 Len=2048"
"482","59.993711","169.1.2.4","169.1.3.2","UDP","614","","0x003c (60)","49153  >  69 Len=2048"
"490","60.993708","169.1.2.4","169.1.3.2","UDP","614","","0x003d (61)","49153  >  69 Len=2048"
"498","61.993713","169.1.2.4","169.1.3.2","UDP","614","","0x003e (62)","49153  >  69 Len=2048"
"506","62.993712","169.1.2.4","169.1.3.2","UDP","614","","0x003f (63)","49153  >  69 Len=2048"
"514","63.993709","169.1.2.4","169.1.3.2","UDP","614","","0x0040 (64)","49153  >  69 Len=2048"
"522","64.993715","169.1.2.4","169.1.3.2","UDP","614","","0x0041 (65)","49153  >  69 Len=2048"
"530","65.993712","169.1.2.4","169.1.3.2","UDP","614","","0x0042 (66)","49153  >  69 Len=2048"
"538","66.993711","169.1.2.4","169.1.3.2","UDP","614","","0x0043 (67)","49153  >  69 Len=2048"
"546","67.993708","169.1.2.4","169.1.3.2","UDP","614","","0x0044 (68)","49153  >  69 Len=2048"
"554","68.993715","169.1.2.4","169.1.3.2","UDP","614","","0x0045 (69)","49153  >  69 Len=2048"
"566","70.993711","169.1.2.4","169.1.3.2","UDP","614","","0x0047 (71)","49153  >  69 Len=2048"
"574","71.993708","169.1.2.4","169.1.3.2","UDP","614","","0x0048 (72)","49153  >  69 Len=2048"
"582","72.993714","169.1.2.4","169.1.3.2","UDP","614","","0x0049 (73)","49153  >  69 Len=2048"
"590","73.993710","169.1.2.4","169.1.3.2","UDP","614","","0x004a (74)","49153  >  69 Len=2048"
"598","74.993707","169.1.2.4","169.1.3.2","UDP","614","","0x004b (75)","49153  >  69 Len=2048"
"606","75.993716","169.1.2.4","169.1.3.2","UDP","614","","0x004c (76)","49153  >  69 Len=2048"
"614","76.993713","169.1.2.4","169.1.3.2","UDP","614","","0x004d (77)","49153  >  69 Len=2048"
"622","77.993710","169.1.2.4","169.1.3.2","UDP","614","","0x004e (78)","49153  >  69 Len=2048"
"630","78.993715","169.1.2.4","169.1.3.2","UDP","614","","0x004f (79)","49153  >  69 Len=2048"
"638","79.993714","169.1.2.4","169.1.3.2","UDP","614","","0x0050 (80)","49153  >  69 Len=2048"
"646","80.993712","169.1.2.4","169.1.3.2","UDP","614","","0x0051 (81)","49153  >  69 Len=2048"
"654","81.993708","169.1.2.4","169.1.3.2","UDP","614","","0x0052 (82)","49153  >  69 Len=2048"
"662","82.993715","169.1.2.4","169.1.3.2","UDP","614","","0x0053 (83)","49153  >  69 Len=2048"
"670","83.993713","169.1.2.4","169.1.3.2","UDP","614","","0x0054 (84)","49153  >  69 Len=2048"
"678","84.993711","169.1.2.4","169.1.3.2","UDP","614","","0x0055 (85)","49153  >  69 Len=2048"
"686","85.993708","169.1.2.4","169.1.3.2","UDP","614","","0x0056 (86)","49153  >  69 Len=2048"
"694","86.993713","169.1.2.4","169.1.3.2","UDP","614","","0x0057 (87)","49153  >  69 Len=2048"
"702","87.993713","169.1.2.4","169.1.3.2","UDP","614","","0x0058 (88)","49153  >  69 Len=2048"
"710","88.993709","169.1.2.4","169.1.3.2","UDP","614","","0x0059 (89)","49153  >  69 Len=2048"
"718","89.993716","169.1.2.4","169.1.3.2","UDP","614","","0x005a (90)","49153  >  69 Len=2048"
"726","90.993712","169.1.2.4","169.1.3.2","UDP","614","","0x005b (91)","49153  >  69 Len=2048"
"734","91.993709","169.1.2.4","169.1.3.2","UDP","614","","0x005c (92)","49153  >  69 Len=2048"
"742","92.993708","169.1.2.4","169.1.3.2","UDP","614","","0x005d (93)","49153  >  69 Len=2048"
"750","93.993714","169.1.2.4","169.1.3.2","UDP","614","","0x005e (94)","49153  >  69 Len=2048"
"758","94.993712","169.1.2.4","169.1.3.2","UDP","614","","0x005f (95)","49153  >  69 Len=2048"
"766","95.993709","169.1.2.4","169.1.3.2","UDP","614","","0x0060 (96)","49153  >  69 Len=2048"
"774","96.993708","169.1.2.4","169.1.3.2","UDP","614","","0x0061 (97)","49153  >  69 Len=2048"
