"No.","Time","Source","Destination","Protocol","Length","TCP Segment Len","Sequence number","Info"
"27","0.020129","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=8577 Ack=1 Win=131072 Len=536 TSval=2026 TSecr=2021"
"28","0.020180","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=9113 Ack=1 Win=131072 Len=536 TSval=2026 TSecr=2021"
"30","0.020250","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=9649 Ack=1 Win=131072 Len=536 TSval=2026 TSecr=2021"
"31","0.020302","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=10185 Ack=1 Win=131072 Len=536 TSval=2026 TSecr=2021"
"32","0.020355","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=10721 Ack=1 Win=131072 Len=536 TSval=2026 TSecr=2022"
"33","0.020407","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=11257 Ack=1 Win=131072 Len=536 TSval=2026 TSecr=2022"
"34","0.020460","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=11793 Ack=1 Win=131072 Len=536 TSval=2026 TSecr=2022"
"35","0.020511","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=12329 Ack=1 Win=131072 Len=536 TSval=2026 TSecr=2022"
"37","0.020830","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=12865 Ack=1 Win=131072 Len=536 TSval=2026 TSecr=2022"
"38","0.020881","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=13401 Ack=1 Win=131072 Len=536 TSval=2026 TSecr=2022"
"39","0.020933","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=13937 Ack=1 Win=131072 Len=536 TSval=2026 TSecr=2022"
"40","0.020985","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=14473 Ack=1 Win=131072 Len=536 TSval=2026 TSecr=2022"
"42","0.029866","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=15009 Ack=1 Win=131072 Len=536 TSval=2035 TSecr=2028"
"44","0.029925","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=15545 Ack=1 Win=131072 Len=536 TSval=2035 TSecr=2028"
"45","0.029976","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=16081 Ack=1 Win=131072 Len=536 TSval=2035 TSecr=2028"
"46","0.030028","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=16617 Ack=1 Win=131072 Len=536 TSval=2035 TSecr=2028"
"47","0.030079","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=17153 Ack=1 Win=131072 Len=536 TSval=2035 TSecr=2028"
"48","0.030132","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=17689 Ack=1 Win=131072 Len=536 TSval=2035 TSecr=2028"
"49","0.030184","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=18225 Ack=1 Win=131072 Len=536 TSval=2035 TSecr=2028"
"50","0.030236","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=18761 Ack=1 Win=131072 Len=536 TSval=2035 TSecr=2028"
"52","0.030483","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=19297 Ack=1 Win=131072 Len=536 TSval=2036 TSecr=2028"
"53","0.030533","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=19833 Ack=1 Win=131072 Len=536 TSval=2036 TSecr=2028"
"54","0.030584","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=20369 Ack=1 Win=131072 Len=536 TSval=2036 TSecr=2028"
"55","0.030637","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=20905 Ack=1 Win=131072 Len=536 TSval=2036 TSecr=2028"
"57","0.031204","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=21441 Ack=1 Win=131072 Len=536 TSval=2037 TSecr=2032"
"58","0.031255","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=21977 Ack=1 Win=131072 Len=536 TSval=2037 TSecr=2032"
"59","0.031307","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=22513 Ack=1 Win=131072 Len=536 TSval=2037 TSecr=2032"
"60","0.031359","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=23049 Ack=1 Win=131072 Len=536 TSval=2037 TSecr=2032"
"62","0.031589","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=23585 Ack=1 Win=131072 Len=536 TSval=2037 TSecr=2032"
"63","0.031639","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=24121 Ack=1 Win=131072 Len=536 TSval=2037 TSecr=2032"
"64","0.031691","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=24657 Ack=1 Win=131072 Len=536 TSval=2037 TSecr=2032"
"65","0.031743","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=25193 Ack=1 Win=131072 Len=536 TSval=2037 TSecr=2032"
"67","0.031823","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=25729 Ack=1 Win=131072 Len=536 TSval=2037 TSecr=2032"
"71","0.031904","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=26265 Ack=1 Win=131072 Len=536 TSval=2037 TSecr=2032"
"72","0.031956","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=26801 Ack=1 Win=131072 Len=536 TSval=2037 TSecr=2032"
"73","0.032008","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=27337 Ack=1 Win=131072 Len=536 TSval=2037 TSecr=2032"
"74","0.032060","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=27873 Ack=1 Win=131072 Len=536 TSval=2037 TSecr=2032"
"75","0.032112","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=28409 Ack=1 Win=131072 Len=536 TSval=2037 TSecr=2032"
"76","0.032164","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=28945 Ack=1 Win=131072 Len=536 TSval=2037 TSecr=2032"
"77","0.032215","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=29481 Ack=1 Win=131072 Len=536 TSval=2037 TSecr=2032"
"78","0.032267","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=30017 Ack=1 Win=131072 Len=536 TSval=2037 TSecr=2032"
"79","0.032319","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=30553 Ack=1 Win=131072 Len=536 TSval=2037 TSecr=2032"
"80","0.032372","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=31089 Ack=1 Win=131072 Len=536 TSval=2037 TSecr=2032"
"81","0.032423","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=31625 Ack=1 Win=131072 Len=536 TSval=2037 TSecr=2032"
"82","0.032476","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=32161 Ack=1 Win=131072 Len=536 TSval=2037 TSecr=2032"
"83","0.032527","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=32697 Ack=1 Win=131072 Len=536 TSval=2037 TSecr=2032"
"84","0.032578","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=33233 Ack=1 Win=131072 Len=536 TSval=2037 TSecr=2032"
"85","0.032630","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=33769 Ack=1 Win=131072 Len=536 TSval=2037 TSecr=2032"
"87","0.035637","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=34305 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2038"
"95","0.035841","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=34841 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2038"
"96","0.035892","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=35377 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2038"
"97","0.035943","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=35913 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2038"
"98","0.035995","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=36449 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2038"
"99","0.036047","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=36985 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2038"
"100","0.036100","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=37521 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2038"
"101","0.036151","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=38057 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2038"
"102","0.036203","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=38593 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2038"
"103","0.036254","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=39129 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2038"
"104","0.036307","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=39665 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2038"
"105","0.036358","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=40201 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2038"
"106","0.036409","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=40737 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2038"
"107","0.036461","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=41273 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2038"
"108","0.036512","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=41809 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2038"
"109","0.036564","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=42345 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2038"
"110","0.036615","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=42881 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2038"
"111","0.036667","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=43417 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2038"
"112","0.036719","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=43953 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2038"
"113","0.036771","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=44489 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2038"
"114","0.036823","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=45025 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2038"
"115","0.036874","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=45561 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2038"
"116","0.036927","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=46097 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2038"
"117","0.036978","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=46633 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2038"
"118","0.037031","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=47169 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2039"
"119","0.037083","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=47705 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2039"
"120","0.037135","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=48241 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2039"
"121","0.037187","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=48777 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2039"
"122","0.037238","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=49313 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2039"
"123","0.037290","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=49849 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2039"
"124","0.037341","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=50385 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2039"
"125","0.037394","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=50921 Ack=1 Win=131072 Len=536 TSval=2041 TSecr=2039"
"127","0.037496","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=51457 Ack=1 Win=131072 Len=536 TSval=2043 TSecr=2039"
"131","0.037573","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=51993 Ack=1 Win=131072 Len=536 TSval=2043 TSecr=2039"
"132","0.037624","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=52529 Ack=1 Win=131072 Len=536 TSval=2043 TSecr=2039"
"133","0.037677","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=53065 Ack=1 Win=131072 Len=536 TSval=2043 TSecr=2039"
"134","0.037729","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=53601 Ack=1 Win=131072 Len=536 TSval=2043 TSecr=2039"
"135","0.037782","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=54137 Ack=1 Win=131072 Len=536 TSval=2043 TSecr=2039"
"136","0.037833","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=54673 Ack=1 Win=131072 Len=536 TSval=2043 TSecr=2039"
"137","0.037886","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=55209 Ack=1 Win=131072 Len=536 TSval=2043 TSecr=2039"
"138","0.037937","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=55745 Ack=1 Win=131072 Len=536 TSval=2043 TSecr=2040"
"139","0.037989","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=56281 Ack=1 Win=131072 Len=536 TSval=2043 TSecr=2040"
"140","0.038042","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=56817 Ack=1 Win=131072 Len=536 TSval=2043 TSecr=2040"
"141","0.038094","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=57353 Ack=1 Win=131072 Len=536 TSval=2043 TSecr=2040"
"142","0.038146","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=57889 Ack=1 Win=131072 Len=536 TSval=2043 TSecr=2040"
"143","0.038197","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=58425 Ack=1 Win=131072 Len=536 TSval=2043 TSecr=2040"
"144","0.038250","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=58961 Ack=1 Win=131072 Len=536 TSval=2043 TSecr=2040"
"145","0.038302","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=59497 Ack=1 Win=131072 Len=536 TSval=2043 TSecr=2040"
"147","0.039003","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=60033 Ack=1 Win=131072 Len=536 TSval=2045 TSecr=2040"
"148","0.039053","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=60569 Ack=1 Win=131072 Len=536 TSval=2045 TSecr=2040"
"149","0.039105","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=61105 Ack=1 Win=131072 Len=536 TSval=2045 TSecr=2040"
"150","0.039157","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=61641 Ack=1 Win=131072 Len=536 TSval=2045 TSecr=2040"
"152","0.039399","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=62177 Ack=1 Win=131072 Len=536 TSval=2045 TSecr=2040"
"153","0.039450","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=62713 Ack=1 Win=131072 Len=536 TSval=2045 TSecr=2040"
"154","0.039501","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=63249 Ack=1 Win=131072 Len=536 TSval=2045 TSecr=2040"
"155","0.039554","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=63785 Ack=1 Win=131072 Len=536 TSval=2045 TSecr=2040"
"157","0.039974","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=64321 Ack=1 Win=131072 Len=536 TSval=2045 TSecr=2040"
"158","0.040024","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=64857 Ack=1 Win=131072 Len=536 TSval=2045 TSecr=2040"
"160","0.040084","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=65393 Ack=1 Win=131072 Len=536 TSval=2045 TSecr=2040"
"161","0.040135","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=65929 Ack=1 Win=131072 Len=536 TSval=2045 TSecr=2040"
"162","0.040187","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=66465 Ack=1 Win=131072 Len=536 TSval=2046 TSecr=2040"
"163","0.040238","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=67001 Ack=1 Win=131072 Len=536 TSval=2046 TSecr=2040"
"164","0.040289","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=67537 Ack=1 Win=131072 Len=536 TSval=2046 TSecr=2040"
"165","0.040342","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=68073 Ack=1 Win=131072 Len=536 TSval=2046 TSecr=2040"
"167","0.040585","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=68609 Ack=1 Win=131072 Len=536 TSval=2046 TSecr=2040"
"168","0.040635","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=69145 Ack=1 Win=131072 Len=536 TSval=2046 TSecr=2040"
"169","0.040687","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=69681 Ack=1 Win=131072 Len=536 TSval=2046 TSecr=2040"
"170","0.040738","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=70217 Ack=1 Win=131072 Len=536 TSval=2046 TSecr=2040"
"172","0.040805","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=70753 Ack=1 Win=131072 Len=536 TSval=2046 TSecr=2040"
"173","0.040856","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=71289 Ack=1 Win=131072 Len=536 TSval=2046 TSecr=2040"
"174","0.040907","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=71825 Ack=1 Win=131072 Len=536 TSval=2046 TSecr=2040"
"175","0.040959","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=72361 Ack=1 Win=131072 Len=536 TSval=2046 TSecr=2040"
"177","0.041638","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=72897 Ack=1 Win=131072 Len=536 TSval=2047 TSecr=2043"
"179","0.041696","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=73433 Ack=1 Win=131072 Len=536 TSval=2047 TSecr=2043"
"183","0.041776","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=73969 Ack=1 Win=131072 Len=536 TSval=2047 TSecr=2043"
"184","0.041827","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=74505 Ack=1 Win=131072 Len=536 TSval=2047 TSecr=2043"
"185","0.041879","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=75041 Ack=1 Win=131072 Len=536 TSval=2047 TSecr=2044"
"186","0.041931","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=75577 Ack=1 Win=131072 Len=536 TSval=2047 TSecr=2044"
"187","0.041982","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=76113 Ack=1 Win=131072 Len=536 TSval=2047 TSecr=2044"
"188","0.042035","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=76649 Ack=1 Win=131072 Len=536 TSval=2047 TSecr=2044"
"189","0.042086","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=77185 Ack=1 Win=131072 Len=536 TSval=2047 TSecr=2044"
"190","0.042139","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=77721 Ack=1 Win=131072 Len=536 TSval=2047 TSecr=2044"
"191","0.042190","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=78257 Ack=1 Win=131072 Len=536 TSval=2047 TSecr=2044"
"192","0.042243","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=78793 Ack=1 Win=131072 Len=536 TSval=2047 TSecr=2044"
"193","0.042295","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=79329 Ack=1 Win=131072 Len=536 TSval=2047 TSecr=2044"
"194","0.042347","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=79865 Ack=1 Win=131072 Len=536 TSval=2047 TSecr=2044"
"195","0.042398","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=80401 Ack=1 Win=131072 Len=536 TSval=2047 TSecr=2044"
"196","0.042449","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=80937 Ack=1 Win=131072 Len=536 TSval=2047 TSecr=2044"
"197","0.042501","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=81473 Ack=1 Win=131072 Len=536 TSval=2047 TSecr=2044"
"198","0.042552","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=82009 Ack=1 Win=131072 Len=536 TSval=2047 TSecr=2044"
"199","0.042605","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=82545 Ack=1 Win=131072 Len=536 TSval=2047 TSecr=2044"
"200","0.042656","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=83081 Ack=1 Win=131072 Len=536 TSval=2047 TSecr=2044"
"202","0.044144","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=83617 Ack=1 Win=131072 Len=536 TSval=2050 TSecr=2044"
"203","0.044194","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=84153 Ack=1 Win=131072 Len=536 TSval=2050 TSecr=2044"
"204","0.044247","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=84689 Ack=1 Win=131072 Len=536 TSval=2050 TSecr=2044"
"205","0.044299","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=85225 Ack=1 Win=131072 Len=536 TSval=2050 TSecr=2044"
"207","0.044606","169.1.4.3","169.1.3.2","TCP","606","536","","49153  >  69 [ACK] Seq=85761 Ack=1 Win=131072 Len=536 TSval=2050 TSecr=2044"
